troop_id,name_singular,name_plural
garamantian_peasant,Garamans Tribulis,Garamantes Tribules
caucasian_peasant,Caucasicus Tribulis,Caucasici Tribules
greek_peasant,Graecus Rusticus,Graeci Rustici
galatian_peasant,Galaticus Rusticus,Galatici Rustici
illyrian_peasant,Illyricus Rusticus,Illyrici Rustici
hispanic_peasant,Hispanus Rusticus,Hispani Rustici
gaulish_peasant,Gallus Rusticus,Galli Rustici
nubian_peasant,Nubianus Tribulis,Nubiani Tribules
saka_peasant,Sacae Tribulis,Sacae Tribules
egyptian_peasant,Aegyptius Rusticus,Aegyptii Rustici
watchman,Mercenarius Funditor,Mercenarii Funditores
caravan_guard,Custos,Custodes
mercenary_swordsman,Mercenarius Hastatus,Mercenarii Hastati
hired_blade,Xenikos Peltastes,Xenikoi Peltastai
mercenary_bowman,Mercenarius Sagittarius,Mercenarii Sagittarii
mercenary_horseman,Mercenarius Eques,Mercenarius Equites
mercenary_cavalry,Mercenarius Cataphractus,Mercenarii Cataphracti
illyrian_horseman,Illyrios Hippeus,Illyrioi Hippeis
illyrian_infantry,Illyrios Pezos,Illyrioi Pezoi
slinger_rhodos,Rhodios Sphendonetes,Rhodioi Sphendonetai
kreta_archer,Kres Toxotes,Kretes Toxotai
hispanic_infantry,Scutarius,Scutarii
hispanic_heavy_infantry,Loricati Scutarius,Loricati Scutarii
hoplit,Hoplites,Hoplitai
phalanx,Phalangit,Phalangitai
hoplit_2,Epilektos,Epilektoi
scythian_horse_archer,Skythikos Hippeus,Skythikoi Hippeis
scythian_amazon,Amazon,Amazones
scythian_medium_cavalry,Skythios Lonchophoros,Skythioi Lonchophoroi
scythian_cataphract,Skythikos Kataphraktos,Skythikoi Kataphraktoi
alan_horse_archer,Alanno Badaro,Alanna Badarai
alan_heavy_horse_archer,Alanno Leazdaetta,Alanna Leazdaettae
celtic_freeman,Ambaktos,Ambaktoi
celtic_elite_swordsman,Arios,Arioi
irish_skirmisher,Weidelos Iwerakos,Weideloi Iwerakoi
irish_vetran,Ouxselos Iwerakos,Ouxseloi Iwerakoi
germanic_hunter,Sakandz,Sakandiz
germanic_free_spearman,Gaizaz Frijaz,Gaizoz Frijoz
germanic_nightwarrior,Hariaz Skaduganganaz,Harioz Skaduganganoz
germanic_free_nobleman,Istaevonaz Druthinaz,Istaevonoz Druthinoz
baltic_hunter,Voinas,Voinai
danish_skirmisher,Stranjaz Druhtinaz,Stranjoz Druhtinoz
danish_vetran,Akwinaz,Akwinoz
lombard_skirmisher,Winnilaz Slagandz,Winniloz Slagandiz
lombard_vetran,Winnilaz Wopandz,Winniloz Wopandiz
slavic_skirmisher,Gaizaz Ridandz,Gaizoz Ridandiz
slavic_vetran,Toutaginos,Toutaginoi
georgian_light_archer,Moisari,Moisarebi
georgian_noble_archer,Mtieli Shubosani,Mtieli Shubosnebi
persian_picaxe_man,Tabarzan Eranshahr,Tabarzanan Eranshahr
persian_noble_cav,Asad Asavar,Asadan Asavaran
saka_horse_archer,Yukhuno Yasanino Puthro,Yukhuna Yasaninu Puthra
saka_heavy_cavalry,Sakayo Azaryanako,Sakaya Azaryanaka
saka_amazon,Razma-Jani,Razma-Janya
indian_archer,Dhanurdhara,Dhanurdharah
indian_spearman,Patti Kauntika,Patti Kauntikah
garamantian_horseman,Amhadi Garamanti,Imhaditen Garamantin
garamantian_noble_horseman,Aballun Garamanti,Iballunen Garamantin
gaetuli_horseman,Amenay Amawri,Imnayen Imawriyen
gaetuli_noble_horseman,Amhadi n Thugga,Imḥaditen n Thugga
meroe_archers,Neteke,Netekeli
meroe_infantry,Adke-tkk,Adkeli-tkkli
meroe_axemen,Kukur,Kukurli
egyptian_archers,Reftksote,Reftksotew
egyptian_infantry_heavy,Refbouts,Refboutew
egyptian_infantry_light,Refqenqen,Refqenqenew
egyptian_officer,Tzoeisu,Tzoeisu-w
arab_noble_archers,Shomer Hajar,Shomrim Hajar
arab_spearmen,Muqrab,Muqrabeen
desert_bandit,Faris,Farasin
arab_noble_cav,Abbir Faris,Abbirim Farisin
palmyra_infantry,Palmyraius Pedes,Palmyraii Pedites
palmyra_cataphract,Palmyraius Cataphractus,Palmyraii Cataphracti
mercenaries_end,mercenaries_end,mercenaries_end
bosporan_standard_bearer,Bosporanos Semeiophoros,Bosporanoi Semeiophoroi
bosporan_hornman,Bosporanos Salpinktes,Bosporanoi Salpinktai
judean_standard_bearer,Ioudaios Semeiophoros,Ioudaioi Semeiophoroi
judean_hornman,Ioudaios Salpinktes,Ioudaioi Salpinktai
germanic_standard_bearer,Markaz-berd,Markaz-berdnes
germanic_hornman,Hurnaz-blezd,Hurnaz-blezones
celtic_standard_bearer,Mergiforos,Mergifori
celtic_hornman,Carnoucos,Carnouci
dacian_standard_bearer,Dakos Semeiophoros,Daki Semeiophoroi
dacian_hornman,Dakos Salpinktes,Daki Salpinktai
armenian_standard_bearer,Armenikos Semeiophoros,Armenikoi Semeiophoroi
armenian_hornman,Armenikos Salpinktes,Armenikoi Salpinktai
caucasian_standard_bearer,Kaukasios Semeiophoros,Kaukasioi Semeiophoroi
caucasian_hornman,Kaukasios Salpinktes,Kaukasioi Salpinktai
parthian_standard_bearer,Drafs-bar,Drafs-baran
parthian_hornman,Sur-dam,Sur-daman
syrian_standard_bearer,Regalya D-Darpsa,Regalya D-Darpsa
syrian_hornman,Musiqara D-Gesa,Musiqara D-Gesa
egyptian_standard_bearer,Tjai-seryt,Tjaiu-seryt
egyptian_hornman,Weha-en-deb,Wehau-en-deb
hornman,Xenikos Moysikos,Xenikoi Moysikoi
judean_hornman,Antolikos Moysikos,Antolikoi Moysikoi
judean_light_clubman,Judaios Thureophores,Judaioi Thureophoroi
judean_light_clubman_exp,Judaios Thureophores (exp),Judaioi Thureophoroi (exp)
judean_light_clubman_vet,Judaios Thureophores (vet),Judaioi Thureophoroi (vet)
judean_light_spearman,Judaios Taxes,Ioudaioi Taxeis
judean_light_spearman_exp,Judaios Taxes (exp),Ioudaioi Taxeis (exp)
judean_light_spearman_vet,Judaios Taxes (vet),Ioudaioi Taxeis (vet)
judean_skirmisher,Judaios Peltastes,Judaioi Peltastai
judean_skirmisher_exp,Judaios Peltastes (exp),Judaioi Peltastai (exp)
judean_skirmisher_vet,Judaios Peltastes (vet),Judaioi Peltastai (vet)
judean_slinger,Judaios Sphendonetes,Ioudaioi Sphendonetai
judean_slinger_exp,Judaios Sphendonetes (exp),Ioudaioi Sphendonetai (exp)
judean_slinger_vet,Judaios Sphendonetes (vet),Ioudaioi Sphendonetai (vet)
judean_archer,Judaios Toxotes,Ioudaioi Toxotai
judean_archer_exp,Judaios Toxotes (exp),Ioudaioi Toxotai (exp)
judean_archer_vet,Judaios Toxotes (vet),Ioudaioi Toxotai (vet)
judean_elite,Judaios Thorakites,Ioudaioi Thorakitai
judean_elite_exp,Judaios Thorakites (exp),Ioudaioi Thorakitai (exp)
judean_elite_vet,Judaios Thorakites (vet),Ioudaioi Thorakitai (vet)
judean_cav,Judaios Hippakontistes,Ioudaioi Hippakontistai
judean_cav_exp,Judaios Hippakontistes (exp),Ioudaioi Hippakontistai (exp)
judean_cav_vet,Judaios Hippakontistes (vet),Ioudaioi Hippakontistai (vet)
judean_guard,Sebastenos Peltastes,Sebastenoi Peltastai
judean_guard_vet,Sebastenos Peltastes,Sebastenoi Peltastai (vet)
judean_guard_archer,Sebastenos Toxotes,Sebastenoi Toxotai
judean_guard_archer_vet,Sebastenos Toxotes,Sebastenoi Toxotai (vet)
bosporan_light_spearman,Bosporanos Entopios,Bosporanoi Entopioi
bosporan_light_spearman_exp,Bosporanos Entopios (exp),Bosporanoi Entopioi (exp)
bosporan_light_spearman_vet,Bosporanos Entopios (vet),Bosporanoi Entopioi (vet)
bosporan_archer,Bosporanos Toxotes,Bosporanoi Toxotia
bosporan_archer_exp,Bosporanos Toxotes (exp),Bosporanoi Toxotia (exp)
bosporan_archer_vet,Bosporanos Toxotes (vet),Bosporanoi Toxotia (vet)
bosporan_elite,Bosporanos Pezos,Bosporanoi Pezoi
bosporan_elite_exp,Bosporanos Pezos (exp),Bosporanoi Pezoi (exp)
bosporan_elite_vet,Bosporanos Pezos (vet),Bosporanoi Pezoi (vet)
bosporan_cav,Sauromatikos Kataphraktos,Sauromatikoi Kataphraktoi
bosporan_cav_exp,Sauromatikos Kataphraktos (exp),Sauromatikoi Kataphraktoi (exp)
bosporan_cav_vet,Sauromatikos Kataphraktos (vet),Sauromatikoi Kataphraktoi (vet)
germanic_light_clubman,Slagandz,Slagandiz
germanic_light_clubman_exp,Slagandz (exp),Slagandiz (exp)
germanic_light_clubman_vet,Slagandz (vet),Slagandiz (vet)
germanic_light_spearman,Gaizafulkan Frijatoz,Gaizafulkan Frijato
germanic_light_spearman_exp,Gaizafulkan Frijatoz (exp),Gaizafulkan Frijato (exp)
germanic_light_spearman_vet,Gaizafulkan Frijatoz (vet),Gaizafulkan Frijato (vet)
germanic_skirmisher,Jungaz,Jungoz
germanic_skirmisher_exp,Jungaz (exp),Jungoz (exp)
germanic_skirmisher_vet,Jungaz (vet),Jungoz (vet)
germanic_slinger,Stainawerpandz,Stainawerpandiz
germanic_slinger_exp,Stainawerpandz (exp),Stainawerpandiz (exp)
germanic_slinger_vet,Stainawerpandz (vet),Stainawerpandiz (vet)
germanic_archer,Skuttilaz,Skuttiloz
germanic_archer_exp,Skuttilaz (exp),Skuttiloz (exp)
germanic_archer_vet,Skuttilaz (vet),Skuttiloz (vet)
germanic_berserker,Tiwisa Wigandz,Tiwisa Wigandiz
germanic_noble_swordsman,Druthinaz Swebiskaz,Druthinoz Swebiskoz
germanic_noble_swordsman_exp,Druthinaz Swebusku (exp),Druthinoz Swebiskoz (exp)
germanic_noble_swordsman_vet,Druthinaz Swebusku (vet),Druthinoz Swebiskoz (vet)
germanic_noble_spearman,Dugandz,Dugandiz
germanic_noble_spearman_exp,Dugandz (exp),Dugandiz (exp)
germanic_noble_spearman_vet,Dugandz (vet),Dugandiz (vet)
germanic_cavalry,Ridandz,Ridandiz
germanic_cavalry_exp,Ridandz (exp),Ridandiz (exp)
germanic_cavalry_vet,Ridandz (vet),Ridandiz (vet)
celtic_light_clubman,Lorgowiros,Lorgowiri
celtic_light_clubman_exp,Lorgowiros (exp),Lorgowiri (exp)
celtic_light_clubman_vet,Lorgowiros (vet),Lorgowiri (vet)
celtic_light_spearman,Slegowiros,Slegowiri
celtic_light_spearman_exp,Slegowiros (exp),Slegowiri (exp)
celtic_light_spearman_vet,Slegowiros (vet),Slegowiri (vet)
celtic_naked_swordman,Kladiwos,Kladiwoi
celtic_naked_swordman_exp,Kladiwos (exp),Kladiwoi (exp)
celtic_naked_swordman_vet,Kladiwos (vet),Kladiwoi (vet)
celtic_skirmisher,Gaisowiros,Gaisowiri
celtic_skirmisher_exp,Gaisowiros (exp),Gaisowiri(exp)
celtic_skirmisher_vet,Gaisowiros (vet),Gaisowiri (vet)
celtic_archer,Arkwios,Arkwioi
celtic_archer_exp,Arkwios (exp),Arkwioi (exp)
celtic_archer_vet,Arkwios (vet),Arkwioi (vet)
celtic_horseman,Markakos Gaisowiros,Markakoi Gaisowiri
celtic_horseman_exp,Markakos Gaisowiros (exp),Markakoi Gaisowiri (exp)
celtic_horseman_vet,Markakos Gaisowiros (vet),Markakoi Gaisowiri (vet)
celtic_noble_swords,Wenoi,Wenoi
celtic_noble_swords_exp,Wenoi (exp),Wenoi (exp)
celtic_noble_swords_vet,Wenoi (vet),Wenoi (vet)
caledonian_light_clubman,Wenos,Lorgowiri
caledonian_light_clubman_exp,Wenos (exp),Lorgowiri (exp)
caledonian_light_clubman_vet,Wenos (vet),Lorgowiri (vet)
caledonian_light_spearman,Kombrogos,Kombrogoi
caledonian_light_spearman_exp,Kombrogos (exp),Kombrogoi (exp)
caledonian_light_spearman_vet,Kombrogos (vet),Kombrogoi (vet)
caledonian_naked_swordman,Teceitos,Teceitoi
caledonian_naked_swordman_exp,Teceitos (exp),Teceitoi (exp)
caledonian_naked_swordman_vet,Teceitos (vet),Teceitoi (vet)
caledonian_skirmisher,Gaisowiros,Gaisowiri
caledonian_skirmisher_exp,Gaisowiros (exp),Gaisowiri(exp)
caledonian_skirmisher_vet,Gaisowiros (vet),Gaisowiri (vet)
caledonian_archer,Arkwios,Arkwioi
caledonian_archer_exp,Arkwios (exp),Arkwioi (exp)
caledonian_archer_vet,Arkwios (vet),Arkwioi (vet)
caledonian_horseman,Markakos Trummos,Markakoi Trummoi
caledonian_horseman_exp,Markakos Trummos (exp),Markakoi Trummoi (exp)
caledonian_horseman_vet,Markakos Trummos (vet),Markakoi Trummoi (vet)
caledonian_noble_swords,Kluddobros,Kluddobroi
caledonian_noble_swords_exp,Kluddobros (exp),Kluddobroi (exp)
caledonian_noble_swords_vet,Kluddobros (vet),Kluddobroi (vet)
dacian_light_spearman,Dakos Fyletikos Pezos,Daki Fyletikoi Pezoi
dacian_light_spearman_exp,Dakos Fyletikos Pezos (exp),Daki Fyletikoi Pezoi (exp)
dacian_light_spearman_vet,Dakos Fyletikos Pezos (vet),Daki Fyletikoi Pezoi (vet)
dacian_light_swordman,Kometes Sicaphoros,Komatai Sicaphoroi
dacian_light_swordman_exp,Kometes Sicaphoros (exp),Komatai Sicaphoroi (exp)
dacian_light_swordman_vet,Kometes Sicaphoros (vet),Komatai Sicaphoroi (vet)
dacian_flaxman,Drapanistes,Drapanistai
dacian_flaxman_vet,Drapanistes (vet),Drapanistai (vet)
dacian_flaxman_heavy,Epilektos Drapanistes,Epilektoi Drapanistai
dacian_noble_cav,Dakos Aristos Hippeus,Daki Aristoi Hippeis
dacian_noble_cav_exp,Dakos Aristos Hippeus (exp),Daki Aristoi Hippeis (exp)
dacian_noble_cav_vet,Dakos Aristos Hippeus (vet),Daki Aristoi Hippeis (vet)
dacian_heavy_inf,Sarmato-Dakos Toxotes,Sarmato-Daki Toxotai
dacian_heavy_inf_exp,Sarmato-Dakos Toxotes (exp),Sarmato-Daki Toxotai (exp)
dacian_heavy_inf_vet,Sarmato-Dakos Toxotes (vet),Sarmato-Daki Toxotai (vet)
dacian_noble_inf,Ischyros Ordites,Ischyroi Orditai
dacian_noble_inf_exp,Ischyros Ordites (exp),Ischyroi Orditai (exp)
dacian_noble_inf_vet,Ischyros Ordites (vet),Ischyroi Orditai (vet)
dacian_skirmishers,Dakos Toxotes,Daki Toxotai
dacian_skirmishers_exp,Dakos Toxotes (exp),Daki Toxotai (exp)
dacian_skirmishers_vet,Dakos Toxotes (vet),Daki Toxotai (vet)
dacian_archers,Dakos Akontistes,Daki Akontistai
dacian_archers_exp,Dakos Akontistes (exp),Daki Akontistai (exp)
dacian_archers_vet,Dakos Akontistes (vet),Daki Akontistai (vet)
dacian_prision_guard,Prison Guard,Prison Guards
dacian_castle_guard,Castle Guard,Castle Guards
celtic_prison_guard,Prison Guard,Prison Guards
celtic_castle_guard,Castle Guard,Castle Guards
sarmatian_prison_guard,Prison Guard,Prison Guards
sarmatian_castle_guard,Castle Guard,Castle Guards
bosporan_prison_guard,Prison Guard,Prison Guards
bosporan_castle_guard,Castle Guard,Castle Guards
germanic_prison_guard,Prison Guard,Prison Guards
germanic_castle_guard,Castle Guard,Castle Guards
batava_prison_guard,Prison Guard,Prison Guards
batava_castle_guard,Castle Guard,Castle Guards
eastern_prison_guard,Prison Guard,Prison Guards
eastern_castle_guard,Castle Guard,Castle Guards
caucasian_prison_guard,Prison Guard,Prison Guards
caucasian_castle_guard,Castle Guard,Castle Guards
roman_prison_guard,Prison Guard,Prison Guards
roman_castle_guard,Castle Guard,Castle Guards
jew_prison_guard,Prison Guard,Prison Guard
jew_castle_guard,Castle Guard,Castle Guard
egyptian_prison_guard,Prison Guard,Prison Guard
egyptian_castle_guard,Castle Guard,Castle Guard
syrian_prison_guard,Prison Guard,Prison Guard
syrian_castle_guard,Castle Guard,Castle Guard
arabian_prison_guard,Prison Guard,Prison Guard
arabian_castle_guard,Castle Guard,Castle Guard
berber_prison_guard,Prison Guard,Prison Guard
berber_castle_guard,Castle Guard,Castle Guard
nubian_prison_guard,Prison Guard,Prison Guard
nubian_castle_guard,Castle Guard,Castle Guard
saka_prison_guard,Prison Guard,Prison Guard
saka_castle_guard,Castle Guard,Castle Guard
garamantian_prison_guard,Prison Guard,Prison Guard
garamantian_castle_guard,Castle Guard,Castle Guard
sarmatian_light_spearman,Sauromates Kontophoros,Sauromatai Kontophoroi
sarmatian_light_spearman_exp,Sauromates Kontophoros (exp),Sauromatai Kontophoroi (exp)
sarmatian_light_spearman_vet,Sauromates Kontophoros (vet),Sauromatai Kontophoroi (vet)
sarmatian_archers,Sauromates Hippotoxotes,Sauromatai Hippotoxotai
sarmatian_archers_exp,Sauromates Hippotoxotes (exp),Sauromatai Hippotoxotai (exp)
sarmatian_archers_vet,Sauromates Hippotoxotes (vet),Sauromatai Hippotoxotai (vet)
sarmatian_light_horsearcher,Duno Asyo,Duna Asya
sarmatian_light_horsearcher_exp,Duno Asyo (exp),Duna Asya (exp)
sarmatian_light_horsearcher_vet,Duno Asyo (vet),Duna Asya (vet)
sarmatian_heavy_horsearcher,Sauromates Fat Aexsdzhyn,Sauromatae Fat Aexsdzhytae
sarmatian_heavy_horsearcher_exp,Sauromates Fat Aexsdzhyn (exp),Sauromatae Fat Aexsdzhytae (exp)
sarmatian_heavy_horsearcher_vet,Sauromates Fat Aexsdzhyn (vet),Sauromatae Fat Aexsdzhytae (vet)
sarmatian_light_horseman,Aeldaro Aemhalto,Aeldary Aemhaltae
sarmatian_light_horseman_exp,Aeldaro Aemhalto (exp),Aeldary Aemhaltae (exp)
sarmatian_light_horseman_vet,Aeldaro Aemhalto (vet),Aeldary Aemhaltae (vet)
sarmatian_heavy_horseman,Rauxsa-alan Baexdzhyn,Rauxsa-alanna Baexdzhyntae
sarmatian_heavy_horseman_exp,Rauxsa-alan Baexdzhyn (exp),Rauxsa-alanna Baexdzhyntae (exp)
sarmatian_heavy_horseman_vet,Rauxsa-alan Baexdzhyn (vet),Rauxsa-alanna Baexdzhyntae (vet)
sarmatian_noble_horseman,Sahiyo Hadabaro,Sahiya Hadabara
sarmatian_noble_horseman_exp,Sahiyo Hadabaro (exp),Sahiya Hadabara (exp)
sarmatian_noble_horseman_vet,Sahiyo Hadabaro (vet),Sahiya Hadabara (vet)
armenian_spear_levy,Kaukasios Doriphoros,Kaukasioi Doriphoroi
armenian_spear_levy_exp,Kaukasios Doriphoros (exp),Kaukasioi Doriphoroi (exp)
armenian_spear_levy_vet,Kaukasios Doriphoros (vet),Kaukasioi Doriphoroi (vet)
armenian_light_axeman,Kaukasios Oresivios,Kaukasioi Oresivioi
armenian_light_axeman_exp,Kaukasios Oresivios (exp),Kaukasioi Oresivioi (exp)
armenian_light_axeman_vet,Kaukasios Oresivios (vet),Kaukasioi Oresivioi (vet)
armenian_skrimisher,Kaukasios Akontistes,Kaukasioi Akontistai
armenian_skrimisher_exp,Kaukasios Akontistes (exp),Kaukasioi Akontistai (exp)
armenian_skrimisher_vet,Kaukasios Akontistes (vet),Kaukasioi Akontistai (vet)
armenian_slinger,Kaukasios Sphendonetes,Kaukasioi Sphendonetai
armenian_slinger_exp,Kaukasios Sphendonetes (exp),Kaukasioi Sphendonetai (exp)
armenian_slinger_vet,Kaukasios Sphendonetes (vet),Kaukasioi Sphendonetai (vet)
armenian_heavy_inf,Armenikos Legeonarios,Armenikoi Legeonarioi
armenian_heavy_inf_exp,Armenikos Legeonarios (exp),Armenikoi Legeonarioi (exp)
armenian_heavy_inf_vet,Armenikos Legeonarios (vet),Armenikoi Legeonarioi (vet)
armenian_heavy_maceman,Armazis Mcveli,Armazis Mcvelebi
armenian_heavy_maceman_exp,Armazis Mcveli (exp),Armazis Mcvelebi (exp)
armenian_heavy_maceman_vet,Armazis Mcveli (vet),Armazis Mcvelebi (vet)
caucasian_heavy_spearman,Kentronakan Doriphoros,Kentronakan Doriphoroi
caucasian_heavy_spearman_exp,Kentronakan Doriphoros (exp),Kentronakan Doriphoroi (exp)
caucasian_heavy_spearman_vet,Kentronakan Doriphoros (vet),Kentronakan Doriphoroi (vet)
armenian_horsearcher,Kaukasios Hippotoxotes,Kaukasioi Hippotoxotai
armenian_horsearcher_exp,Kaukasios Hippotoxotes (exp),Kaukasioi Hippotoxotai (exp)
armenian_horsearcher_vet,Kaukasios Hippotoxotes (vet),Kaukasioi Hippotoxotai (vet)
caucasian_medium_horsearcher,Tskhenosani Moisari,Tskhenosani Moisarebi
caucasian_medium_horsearcher_exp,Tskhenosani Moisari (exp),Tskhenosani Moisarebi (exp)
caucasian_medium_horsearcher_vet,Tskhenosani Moisari (vet),Tskhenosani Moisarebi (vet)
armenian_medium_horseman,Mkhedari,Mkhedrebi
armenian_medium_horseman_exp,Mkhedari (exp),Mkhedrebi (exp)
armenian_medium_horseman_vet,Mkhedari (vet),Mkhedrebi (vet)
caucasian_cataphract,Kaukasios Basilikos Hippeus,Kaukasio Basilikoi Hippeis
caucasian_cataphract_exp,Kaukasios Basilikos Hippeus (exp),Kaukasio Basilikoi Hippeis (exp)
caucasian_cataphract_vet,Kaukasios Basilikos Hippeus (vet),Kaukasio Basilikoi Hippeis (vet)
armenian_cataphract,Armenikos Kataphraktos,Armenikoi Kataphraktoi
armenian_cataphract_exp,Armenikos Kataphraktos (exp),Armenikoi Kataphraktoi (exp)
armenian_cataphract_vet,Armenikos Kataphraktos (vet),Armenikoi Kataphraktoi (vet)
armenian_elite_infantry,Armenikos Epilektos Toxotes,Armenikoi Epilektoi Toxotai
armenian_elite_infantry_exp,Armenikos Epilektos Toxotes (exp),Armenikoi Epilektoi Toxotai (exp)
armenian_elite_infantry_vet,Armenikos Epilektos Toxotes (vet),Armenikoi Epilektoi Toxotai (vet)
syrian_archer,Kassat,Kassata
syrian_archer_exp,Kassat (exp),Kassata (exp)
syrian_archer_vet,Kassat (vet),Kassata (vet)
syrian_spearman,Regaly,Regalye
syrian_spearman_exp,Regaly (exp),Regalye (exp)
syrian_spearman_vet,Regaly (vet),Regalye (vet)
syrian_horsearcher,Rakkba Kassat,Rakkba Kassata
syrian_horsearcher_exp,Rakkba Kassat (exp),Rakkba Kassata (exp)
syrian_horsearcher_vet,Rakkba Kassat (vet),Rakkba Kassata (vet)
syrian_horseman,Rakkaba D-Dayyaqa,Rakkabe D-Dayyaqe
syrian_horseman_exp,Rakkaba D-Dayyaqa (exp),Rakkabe D-Dayyaqe (exp)
syrian_horseman_vet,Rakkaba D-Dayyaqa (vet),Rakkabe D-Dayyaqe (vet)
syrian_heavy_cav,Rakkaba D-Zerya,Rakkabe D-Zerya
syrian_heavy_cav_exp,Rakkaba D-Zerya (exp),Rakkabe D-Zerya (exp)
syrian_heavy_cav_vet,Rakkaba D-Zerya (vet),Rakkabe D-Zerya (vet)
eastern_light_archer,Thanvar Parsig,Thanvaran Parsig
eastern_light_archer_exp,Thanvar Parsig (exp),Thanvaran Parsig (exp)
eastern_light_archer_vet,Thanvar Parsig (vet),Thanvaran Parsig (vet)
eastern_light_axeman,Nayzagdar Madaen,Nayzagdaran Madaen
eastern_light_axeman_exp,Nayzagdar Madaen (exp),Nayzagdaran Madaen (exp)
eastern_light_axeman_vet,Nayzagdar Madaen (vet),Nayzagdaran Madaen (vet)
eastern_skrimisher,Verkhana Kofyar,Verkhana Kofyaren
eastern_skrimisher_exp,Verkhana Kofyar (exp),Verkhana Kofyaren (exp)
eastern_skrimisher_vet,Verkhana Kofyar (vet),Verkhana Kofyaren (vet)
eastern_slinger,Palkhandar,Palkhandaran
eastern_slinger_exp,Palkhandar (exp),Palkhandaran (exp)
eastern_slinger_vet,Palkhandar (vet),Palkhandaran (vet)
eastern_heavy_inf,Arteshtar Pahlavig,Arteshtaran Pahlavig
eastern_heavy_inf_exp,Arteshtar Pahlavig (exp),Arteshtaran Pahlavig (exp)
eastern_heavy_inf_vet,Arteshtar Pahlavig (vet),Arteshtaran Pahlavig (vet)
eastern_heavy_spearman,Nizagdar Pahlavig,Nizagdaran Pahlavig
eastern_heavy_spearman_exp,Nizagdar Pahlavig (exp),Nizagdaran Pahlavig (exp)
eastern_heavy_spearman_vet,Nizagdar Pahlavig (vet),Nizagdaran Pahlavig (vet)
eastern_horsearcher,Shivatir Pahlavanig,Shivatiran Pahlavanig
eastern_horsearcher_exp,Shivatir Pahlavanig (exp),Shivatiran Pahlavanig (exp)
eastern_horsearcher_vet,Shivatir Pahlavanig (vet),Shivatiran Pahlavanig (vet)
eastern_medium_horseman,Asavar Azat,Asavaran Azadan
eastern_medium_horseman_exp,Asavar Azat (exp),Asavaran Azadan (exp)
eastern_medium_horseman_vet,Asavar Azat (vet),Asavaran Azadan (vet)
eastern_cataphract,Pahlavan Grivpanvar,Pahlavanan Grivpanvar
eastern_cataphract_exp,Pahlavan Grivpanvar (exp),Pahlavanan Grivpanvar (exp)
eastern_cataphract_vet,Pahlavan Grivpanvar (vet),Pahlavanan Grivpanvar (vet)
eastern_elite_infantry,Kamandar Zhayad,Kamandaran Zhayadan
eastern_elite_infantry_exp,Kamandar Zhayad (exp),Kamandaran Zhayadan (exp)
eastern_elite_infantry_vet,Kamandar Zhayad (vet),Kamandaran Zhayadan (vet)
legio_xxii_primigenia,Tiro Legionis (XXII Primigenia),Tirones Legionis (XXII Primigenia)
legio_iii_augusta,Tiro Legionis (III Augusta),Tirones Legionis (III Augusta)
legio_v_alaudae,Tiro Legionis (V Alaudae),Tirones Legionis (V Alaudae)
legio_xxi_rapax,Tiro Legionis (XXI Rapax),Tirones Legionis (XXI Rapax)
