infopagesfile version 1
ip_q_and_q Important_informations Triumphs:^As_Roman_player_may_gets_a_triumph_awarded._For_this_you_need_at_least_800_gravitas._You_obtain_gravitas_by_winning_battles_as_marshal._Gravitas_will_decline_over_time_though._You_can_see_your_current_gravitas_in_the_character_notes._As_Emperor_you_can_also_hold_a_triumph_with_less_gravitas_but_this_will_upset_the_Romans.^^Battle_field_fortifications:_^As_Roman_you_can_fortify_your_camp._It_requires_a_set_of_tools_inside_your_inventory_and_an_engineer_skill_higher_than_5._Once_fortified_you_can_no_longer_move._It_is_also_possible_during_sieges.^^Lending_out_money:_^Visit_an_argentarii_(who_can_be_found_inside_a_scriptorium)_to_lend_out_money_or_to_just_store_your_money_in_a_safe_place._You_can_lend_out_a_loans_between_5,000_and_500,000_denars._The_loan_will_expire_after_a_week._Once_it_expires_the_money_will_be_added_TO_THE_NEXT_budget_report._This_can_take_a_while._Depending_on_when_you_issued_the_loan_and_depending_on_when_your_next_budget_report_will_show_it_can_take_between_one_or_two_weeks_until_your_receive_the_interests._For_your_loan_you_have_two_options._Either_you_order_the_argentarius_to_reinvest_the_money_again,_or_you_order_him_to_send_you_back_all_the_money._In_the_first_case,_you_will_only_receive_the_interests_of_your_loan_and_a_new_loan_will_be_lend_out_right_away_after_recieving_the_interests._In_the_later_case_you_will_receive_all_the_money_back._Sometimes_the_interests_can_be_negative._That_shall_simulate_the_case_when_the_debtor_is_not_able_to_repay_the_loan_you_offered_him.^^Diplomacy_feature:^_You_can_become_part_of_a_family._To_do_this_you_must_talk_with_a_lord,_depending_the_character_of_the_lord_you_must_either_be_honorable,_or_dishonorable,_famous,_have_a_good_relation_or_own_a_fief_or_wealth.^^You_need_at_least_200_renown_to_be_considered_as_a_full_citizen_of_Rome._With_200_renown_you_can:_Enter_the_great_hall_of_towns_and_fortresses_and_you_must_pay_the_punitive_tax_(Lex_Julia_et_Papia).If_you_are_Emperor_or_have_a_military_rank_in_the_Roman_Army_your_renown_won't_go_beyond:_450_if_emperor,_200_if_common_military_rank.^^If_you_own_a_fief_and_you_are_part_of_the_Roman_Empire_you_must_pay_taxes_to_the_Emperor,_taxrate_depends_on_circumstances._(usually_20%)^If_you_are_part_of_the_Roman_Army_(not_as_mercenary!)_you_won't_have_to_pay_wages_for_your_troops_in_your_party._But_you_must_still_pay_for_garrisons.^^Be_aware:_after_some_years_the_great_Jewish_revolt_will_start_(if_not_triggered_by_player)^^Player_can_convert_to_Judaism_(at_the_great_temple_in_Hierosolyma),_this_enables_the_following_features:_Player_can_fund_Judean_rebels_at_the_great_temple_in_Hierosolyma,_player_can_start_the_Jewish_revolt_and_fight_for_Judea:_Only_possible_if_player_hasn't_joined_any_other_faction_yet.^^You_can_usurp_towns_from_other_governors_(=Lords)_with_bad_reputation_type_(quarrelsome,_selfrighteous,_sadisitic_(debauched),_cunning):_You_need_more_than_25_relation_with_the_town,_at_least_300_renown_and_must_be_in_the_same_faction,then_you_will_receive_an_event_when_you_visit_the_town._Nero_will_only_give_you_the_town_if_you_don't_already_own_one,_and_if_you_have_a_higher_relation_with_him_than_the_old_governor._If_your_attempt_fail,_you_will_gain_a_new_chance_after_50_days.^^You_can_become_the_lover_of_a_married_woman._Firstly_you_must_improve_your_relation_with_her._Then,_depending_on_your_charisma,_her_personality_and_luck_she_may_says_yes_to_you.But_if_your_relation_with_her_becomes_to_low_(beyond_10)_then_she_will_break_with_you._There_is_also_some_random_chance_that_she_breaks,_because_she_finds_someone_more_interesting.^If_you_have_high_enough_relation_(and_a_good_persuasion_skill)_with_a_lady,_she_may_tell_you_the_latest_rumor_about_a_love_affair._You_can_use_this_information_to_your_advantage.^Your_spouse_can_have_a_love_affair_too._If_you_think_she_has_one,_you_can_send_one_of_your_companions_to_spy_her._Depending_on_the_intelligence_skill_of_the_companion_he_may_find_out_if_she_has_a_love_affair_or_not._If_she_has_a_lover_and_your_companion_has_found_it_out_you_can_talk_with_her_and_divorce.^^As_Emperor_you_should_always_watch_your_enemies_in_your_own_faction,_if_they_grow_too_many,_they_may_assassinate_you.^^As_Emperor_you_can_imprison_any_person_you_want_(town_or_village_walkers_and_your_generals/lords)^^If_you_have_a_prisoner_tower_in_a_town_or_fort,_you_can_torture_your_enemies._Simply_visit_the_prison_and_talk_with_the_torturer.^^You_can_deposit_money_in_Roman_towns._Simply_talk_with_the_praefectus_of_the_city,_who_can_be_found_in_the_scriptorium.^^You_can_buy_all_Roman_weapons,_armors,_helmets_and_shields_from_the_merchant_Gaius_Marius,_who_can_be_found_in_the_streets_of_Rome.^^There_are_some_drinking_'mini_games'_ingame:_You_can_toast_with_Lords_during_feasts_and_you_can_make_a_drinking_competition_with_tavern_shoppers._A_high_strength_attribute_is_needed_if_you_want_to_win.^^The_players_health_can_decrease_over_time_(see_characters_report_for_information_about_your_current_status)._You_will_become_more_unhealthy,_if_you_get_knocked_down_during_battle,_and_due_to_various_other_stuff_(drinking_competitions_for_example).To_increase_your_health_visit_the_baths_frequently.^^As_Emperor,_you_must_answer_petitions_regularly._If_you_don't_want_to_do_this,_talk_with_your_political_advisor,_who_can_be_found_in_the_Domus_Augustus_in_Rome.^^The_gold_item_can_used_to_hire_warbands_from_the_Nabateans,_Garmantians_and_Gaetulians,_by_talking_with_their_respective_kings.^^You_can_order_your_companions_to_establish_permanent_camps_(option_in_the_camp_menu)_and_to_create_their_own_parties_(by_talking_with_them_via_the_party_screen):^The_maximal_amount_of_troops_you_can_give_depends_on_the_following:_base_is_100_men_+_additional_two_men_per_charisma_attribute_and_additional_10_men_per_leadership_skill.You_can_also_store_items_and_prisoners_in_the_camp._But_be_aware,_the_camp_can_be_attacked_by_enemy_parties_and_if_it_is_destroyed_all_items_and_prisoners_will_be_lost.^^You_can_get_honorary_titles_if_you_ask_Emperor_Nero_for_a_reward._You_need_high_relation_with_him_for_this_dialogue_option_to_become_available.^^Freelancing_is_only_available_for_Roman_legions,_talk_either_with_a_legate_commanding_a_legion_directly_or_with_a_Praefectus_Castrorum_or_Praefectus,_who_can_be_found_in_the_scriptorium.^^For_freelancing_in_the_Praetorian_guard_you_need_a_letter_of_recommendation,_this_you_can_obtain_once_you_reached_the_rank_of_Optio,_while_freelancing_in_a_normal_legion.^^You_can_go_hunting_via_the_camp_menu.^^Roman_officers_provide_a_skill_bonus:_^High_rank_officers,_like_Vexilarius,_Aquilifer,_Primus_Pilus_and_Tribunus_provide_a_bonus_to_leadership_skill.For_each_100_men_in_your_party_you_need_two_officers_(centurio,_signifer_etc.),_otherwise_you_will_get_a_malus_on_tactics_skill._The_only_non-Roman_'officer'_is_currently_the_hornman.The_idea_behind_this_is_the_following:_Larger_armies_are_more_difficult_to_lead_during_battles._The_orders_you_give_must_reach_the_soldiers._Officers_and_musicians_can_help_with_that.^^Sailors_can_be_found_as_mercenaries_in_taverns_of_port_towns._Each_sailor_in_the_party_increases_party_speed_on_water_by_1%_up_to_a_maximum_of_40%._(Also_sea_raiders_in_your_party_will_increase_speed_on_water)^^Commander_panel:_^With_an_army_large_than_40_men_you_have_access_to_the_commander_panel_before_a_battle_starts._It_allows_you_to_make_sacrifices_to_the_gods_(improves_moral,_depends_on_a_dice_role,_is_a_good_choice_if_you_have_a_low_oratory_skill),_give_a_speech_(depending_on_your_oratory,_persuasion_and_leadership_skill_it_is_either_a_success_or_fail)_or_to_send_skirmishers_to_attack_the_enemy_(success_depends_on_your_tactics_skill).^^Currently_the_escape_change_for_a_hero_after_battle_is:_37%._Note_that_this_also_effect_the_player.
ip_army_stances Party_stances_and_Ambushes Quite_similar_to_games_from_the_Total_War_series_you_can_order_your_party_a_stance._There_are_three_different_stances:^^-_Default:_No_effects^-_Screening:_Your_party_will_march_more_careful_and_try_to_avoid_ambushes_(probability_reduced_by_50%),_but_this_will_decrease_movement_speed_by_30%^-_Forced_march:_Your_party_will_march_faster_(40%),_but_the_probability_to_get_ambushed_is_higher_(40%_increase)._Additionally,_your_party_consumes_2-times_as_much_food_and_moral_will_be_reduced_over_time_(as_your_men_get_tired_from_the_forced_march_they_need_more_to_eat)^^Ambushes:^Ambushes_can_be_performed_by_every_non_Roman_faction_once_every_two_hours._But_the_probability_is_much_higher_for_Germanic,_British_and_Judean_factions.^You_can_decrease_ambush_probability_by_increasing_your_tracking_skill_and_by_using_the_'screening'_stance._During_ambushes,_you_will_receive_random_causalities_caused_by_traps_which_the_enemy_has_laid._Additionally,_on_the_battlefield_you_will_encounter_burning_fire-balls,_which_can_cause_additional_causalities.
ip_morale2 Morale_Management The_way_the_moral_of_the_players_party_is_calculated_is_different_from_native._There_are_several_new_events_which_effect_moral,_for_instance:_traveling_through_deserts_or_campaigning_during_winter_negatively_impacts_moral._Base_moral_depends_mainly_on_the_party_size:_if_you_are_near_the_maximum_size_you_will_get_high_penalties_and_need_to_entertain_your_troops_regularly_to_keep_moral_high_enough_(e.g._follower_women)._Its_reasonable_to_travel_not_always_at_full_size,_but_only_if_needed_during_campaigns._^^You_have_several_ways_to_improve_the_moral_of_your_party:_^You_can_pay_them_extra_wages.___^You_can_pay_them_mead_or_wine_in_taverns._^_If_you_have_Camp_Followers,__Hunter_Women,_Camp_Defenders,_Soldier_Wives,_refugees_or_simple_Peasant_Women_in_you_party,_they_will_improve_moral_over_time_(the_more_you_have_the_more_moral_will_be_improved,__the_maximum_is_10_moral_points)^You_can_also_improve_your_party_moral_with_the_help_of_priests_^The_Roman_Army_offers_other_ways_to_improve_moral_through_disciplinary_action,_talk_to_your_officers_to_get_access_to_them.^Resting_at_towns_and_forts_regularly_also_improves_moral._If_you_don't_rest_regularly_your_party_will_accumulate_a_moral_penalty._(this_feature_can_be_disabled_in_options)
ip_follower_party Follower_party For_creating_a_follower_party_you_need_to_have_at_least_60_men_in_your_main_party,_have_10_non-wounded_women_and_2,500_denars_for_hiring_a_physician_and_mules._Once_created,_the_follower_party_will_automatically_disband_if_you_either_get_defeated_or_your_party_size_goes_below_40_men.^^_You_can_manage_the_follower_party_over_the_camp_menu._There_you_can_add_more_women_to_the_party,_store_items_on_the_mules_or_use_the_physician_to_treat_major_wounds._You_can_also_add_sailors_to_the_follower_party_which_will_grant_you_a_speed_bonus_when_on_water._But_the_troops_in_the_follower_party_wont_fight_during_battles._You_can_also_manually_disband_the_follower_party.^^_Other_advantages_of_the_follower_party:^^-)_Food_items_stored_on_the_mules_will_be_consumed_by_your_party,_saving_space_in_your_inventory.^-)_If_you_enable_to_automatically_buy_food_after_leaving_a_town,_the_food_will_be_added_to_your_follower_party,_if_you_have_one_(saving_your_own_inventory_space).^-)_Having_soldier_wives_in_your_follower_party_improves_your_surgery_skill_(up_to_3)^-)_Having_camp_followers,_hunter_women,_camp_defender_or_soldier_wives_in_your_follower_party_improves_your_wound_treatment_skill_(up_to_3)^-)_For_women_in_your_follower_party_you_gain_a_moral_bonus.^-)_Women_in_your_follower_party_won't_fight_on_the_battlefield_and_you_don't_have_to_pay_wages_for_them.^^As_a_disadvantage,_a_follower_party_will_significantly_slow_down_your_army.
ip_aor AOR_Recruitment All_Auxiliary_cohorts_are_listed_here:^^Cohors_Alporum:_recruitable_in_barracks_in:_Augusta_Vindelicorum,_Vindobona,_Mediolanum,_Genua^Cohors_Maurorum:_recruitable_in_barracks_in:_Cirta,_Carthago,_Leptis_Magna,_Utika^Cohors_Hispanorum:_recruitable_in_barracks_in:_Augusta,_Tarraco,_Tolosa,_Carthago_Nova,_Cordoba,_Gades,_Augusta_Emerita^Cohors_Tungrorum:_recruitable_in_barracks_in:_Treverorum,__Colonia_Agrippina,_Tulisurquium,_Flevum_Tulifurdum^Cohors_Gallorum:_recruitable_in_barracks_in:_Lugdunum,_Burdigala,_Massalia,_Lutetia^Cohors_Batavorum:_recruitable_in_barracks_in:_Mogantiacum,_Argentorate,_Rhetindovinum,_Lugidunum,_Ekolisma,_Uburzis^Cohors_Brittonum:_recruitable_in_barracks_in:_Londinium,_Deva,_Castellum,_Eboracum,_Durnovaria^Cohors_Thracum:_recruitable_in_barracks_in:_Byzantium,_Novae,_Tomis,_Nicopolis_ad_Haemun,_Heraclea,__Viminacium^Cohors_Petreorum_(recruitable_in_barracks_in:_Petra,_Masada,_Tyrus,_Hierosolyma,_Miletus^Ala_Batavorum:_recruitable_in_barracks_in:_can_be_recruited_where_cohors_batavorum_can_be_recruited^Ala_Commagenorum:_recruitable_in_barracks_in:_Panticapaeum,_Melitene,_Trapezus,_Nikomedia_^Ala_Gallorum:_recruitable_in_barracks_in_where_cohors_gallorum_can_be_recruited^Ala_Ituraeorum:_recruitable_in_barracks_in:_Antiochia,_Jotapata,_Tarsus^Ala_Auxiliarum:_can_be_recruited_in_every_barrack^Cohors_Auxiliarum:_can_be_recruited_in_every_barrack^Ala_Praetoriani:_can_be_recruited_in_every_barrack
ip_formations Advanced_Formations The_Complex_Formations_on_the_Battle_Menu_are:^^-_RANKS_with_best_troops_up_front^-_SHIELD_WALL,_ranks_with_shields_in_front_and_longer_weapons_in_back^-_WEDGE_with_best_troops_up_front^-_SQUARE_in_no_particular_order^-_NO_FORMATION^^Even_in_the_last_case,_the_player_can_make_formations_up_to_four_lines_by_ordering_Stand_Closer_enough_times.^^____Division_Placement:^When_ONE_division_is_selected,_the_center_of_its_front_rank_is_placed_at_the_spot_indicated.^^When_MANY_divisions_are_selected,_they_are_separated_and_spread_out_as_if_the_player_were_standing_at_the_spot_indicated.^^One_may_memorize_the_placement_of_selected_divisions_relative_to_the_player_by_pressing_F2,_F7._Default_is_infantry_to_the_left,_cavalry_right,_and_ranged_forward._Placement_is_overridden_for_any_division_the_player_chooses_to_personally_head_through_the_Formations_Options_menu.^^If_the_camp_menu_game_option_is_set,_divisions_will_rotate_to_face_the_enemy._Otherwise,_they_will_maintain_the_facing_that_the_player_had_when_they_were_placed.^^____Tactical_Controls:^Use_the_keyboard_NUMBERS_to_select_a_division._Press_0_to_select_your_entire_force.^^Use_F1-F4_to_order_selected_divisions._Keep_the_F1_key_down_to_place_selected_divisions._You_may_target_an_enemy_division_through_this_mechanism.
ip_crafting_orders Crafting_orders You_can_order_any_weapon,_shields,_armour,_boots_et_cetera_from_weapon_or_armour_merchants_or_you_latifundia_smith_via_a_dialogue_option.An_ordered_item_will_take_some_time_till_it_is_crafted_and_you_will_have_to_pay_for_the_materials_too._Once_the_item_has_finished_talk_with_the_merchant_to_get_it.The_merchant_will_send_the_finished_item_to_you_if_you_haven't_collected_it_by_yourself._Though_this_takes_much_longer_than_collecting_it_yourself_(by_talking_with_the_respective_merchant).^^Similarly_you_can_import_horses_from_any_horse_merchant_or_your_latifundia_breeder.
ip_legio_1 -_Legio_XXII_Primigenia This_legion_has_been_disbanded.
ip_legio_2 -_Legio_III_Augusta This_legion_has_been_disbanded.
ip_legio_3 -_Legio_V_Alaudae This_legion_has_been_disbanded.
ip_legio_4 -_Legio_XXI_Rapax This_legion_has_been_disbanded.
ip_legio_5 -_Legio_XX_Valeria_Victrix This_legion_has_been_disbanded.
ip_legio_6 -_Legio_VI_Victrix This_legion_has_been_disbanded.
ip_legio_7 -_Legio_XI_Claudia This_legion_has_been_disbanded.
ip_legio_8 -_Legio_XIII_Gemina This_legion_has_been_disbanded.
ip_legio_9 -_Legio_V_Macedonica This_legion_has_been_disbanded.
ip_legio_10 -_Legio_VI_Ferrata This_legion_has_been_disbanded.
ip_legio_11 -_Legio_X_Fretensis This_legion_has_been_disbanded.
ip_legio_12 -_Praetorian_Guard This_legion_has_been_disbanded.
