5444
qstr_Recieved_damage_from Recieved_damage_from_fire!
qstr_{!}{reg3?+:}{reg0} {!}{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_Recruitment_funds_up Recruitment_funds_updated!
qstr_Settlement_details: Settlement_details:
qstr_Latifundia_details: Latifundia_details:
qstr_Workshop_details: Workshop_details:
qstr_There_is_news_of_you There_is_news_of_your_expedition_to_the_southern_Lands._Talk_with_Plinius_at_Domus_Augusti._({reg4}_days)
qstr_There_is_news_of_your There_is_news_of_your_expedition_to_the_eastern_Lands._Talk_with_Plinius_at_Domus_Augusti._({reg4}_days)
qstr_There_is_news_of_your_ There_is_news_of_your_land_caravan_sent_to_Kushan._Speak_to_the_ambassador_at_Domus_Augusti.
qstr_There_is_news_of_your_m There_is_news_of_your_merchant_fleet_sent_to_Kushan._Speak_to_the_ambassador_at_Domus_Augusti.
qstr_{!}DEBUG____Adding_{ {!}DEBUG_--_Adding_{reg3}_items_to_{s3}
qstr_{s0}:_ {s0}:_
qstr_confiscated confiscated
qstr_Looted Looted
qstr_Infested_by_bandits Infested_by_bandits
qstr__taxrate_{reg10}%_ (taxrate_{reg10}%)
qstr_{!}{reg13}_{s63} {!}{reg13}_{s63}
qstr_None None
qstr_{s0}__{s50}_ {s0}_({s50})
qstr_Rents_from_gold_mine Rents_from_gold_mine_in_{s0}:_
qstr_{!}{reg0} {!}{reg0}
qstr_Rents/Tariffs_from_a Rents/Tariffs_from_all_Settlements:
qstr_Income_from_all_Lati Income_from_all_Latifundia:
qstr_Income_from_all_work Income_from_all_workshops:
qstr_{s55}__{reg0}%_regai {s55}_({reg0}%_regained)
qstr_{s55} {s55}
qstr_{s0}__paid_by_imperi {s0}_(paid_by_imperial_treasury)
qstr_Staff: Staff:
qstr_Imperial_tax_on_busi Imperial_tax_on_business_income_({reg50}%):
qstr_Imperial_tax_from_ed Imperial_tax_from_edicts:
qstr_Imperial_tax_on_rent Imperial_tax_on_rents/tariffs:
qstr_Emperor_s_pocket: Emperor's_pocket:
qstr_Tributes_from_Tribut Tributes_from_Tributaries:
qstr_Tributes_paid_to_{s1 Tributes_paid_to_{s1}:
qstr_Household_costs_Domu Household-costs_Domus_Mare:
qstr_Rents_Domus_Mare: Rents_Domus_Mare:
qstr_Expenditure_of_your_ Expenditure_of_your_spouse:
qstr_Household_costs_Domus Household-costs_Domus_Augusti:
qstr_You_have_no_valid_ra You_have_no_valid_rank!
qstr_Tributes_from_vassal Tributes_from_vassals:
qstr_Tributes_paid_to_kin Tributes_paid_to_king:
qstr_Interests_from_loans Interests_from_loans:
qstr_Interests_from_inves Interests_from_investment_({s22}):
qstr_Deal_has_failed._You Deal_has_failed._You_receive_no_money_back.
qstr_Wages: Wages:
qstr_You_paid_{reg0}_dena You_paid_{reg0}_denars_in_cash_to_liquidate_a_debt
qstr_Earlier_cash: Earlier_cash:
qstr_New_cash: New_cash:
qstr_You_gain_{reg0}_xp_f You_gain_{reg0}_xp_from_your_successful_business.
qstr_Name:_{s1}^Level:_{r Name:_{s1}^Level:_{reg2}^HP:_{reg1}/{reg0}
qstr_{s1} {s1}
qstr_Weapon_upgrade_setti Weapon_upgrade_settings:
qstr_Damage_preference Damage_preference
qstr_Item_meta_type Item_meta-type
qstr_cut cut
qstr_pierce pierce
qstr_blunt blunt
qstr_Apply_to_everyone Apply_to_everyone
qstr_Upgrade_armor Upgrade_armor
qstr_Upgrade_horse Upgrade_horse
qstr_Select_your_domestic Select_your_domestic_policy
qstr_Centralization: Centralization:
qstr_Aristocracy: Aristocracy:
qstr_Slavery_and_Serfdom: Slavery_and_Serfdom:
qstr_Troop_quality: Troop_quality:
qstr_Mercantilism: Mercantilism:
qstr_Cancel Cancel
qstr_Dictate_the_peace_te Dictate_the_peace_terms
qstr_Select_the_castle_an Select_the_castle_and_the_amount_of_money_and_check_the_boxes_to_activate_the_demand._The_demands_are_combined_if_both_boxes_are_checked.
qstr_1000_denars 1000_denars
qstr_They_don_t_want_to_c They_don't_want_to_conclude_peace_at_all
qstr_They_refuse_to_give_ They_refuse_to_give_you_{s46}_as_it_is_part_of_their_core_territory._You_may_continue_negotiations_and_ask_for_money_instead.
qstr_They_refuse_to_give_y They_refuse_to_give_you_{s46}_as_it_is_of_strategic_importance._You_may_continue_negotiations_and_ask_for_money_instead.
qstr_They_refuse_your_dea They_refuse_your_deal_as_they_think_you_demanded_is_too_high.
qstr_They_refuse_your_deal They_refuse_your_deal._Either_suggest_something_different_or_break_up_negotiations.
qstr__Faction_Relations_R _Faction_Relations_Report_
qstr_Player^Relation Player^Relation
qstr_Status Status
qstr_Relation Relation
qstr_War War
qstr_Casus_Belli Casus_Belli
qstr_Peace Peace
qstr_Truce Truce
qstr_Alliance Alliance
qstr_Defense_Pact Defense_Pact
qstr_Trade_Agreement Trade_Agreement
qstr_{s60} {s60}
qstr_{reg59?{reg59}_days: {reg59?{reg59}_days:}
qstr_{reg0} {reg0}
qstr_{s9} {s9}
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{reg1} {reg1}
qstr_{s3} {s3}
qstr_{reg0}_{reg58?_{reg5 {reg0}_{reg58?({reg58}_U)_:}Centers
qstr_{reg0}_Caravans {reg0}_Caravans
qstr_{reg60}_{reg59?_{reg {reg60}_{reg59?({reg59}_P)_:}Lords
qstr__Estate_Report_ _Estate_Report_
qstr_Name Name
qstr_Garrison Garrison
qstr_Prisoners Prisoners,
qstr_Buildings Buildings
qstr_Construction_Project Construction_Projects
qstr_Physician Physician
qstr_Magister Magister
qstr_{s20} {s20}
qstr_{reg1}__needed:_{reg {reg1}_(needed:_{reg30})
qstr_{reg1}_men {reg1}_men
qstr_{s20}__{s21}_ {s20}_({s21})
qstr_{s20}^_{s10} {s20},^_{s10}
qstr_{s20}_{s10} {s20},_{s10}
qstr_{s10} {s10}
qstr_{s20}__{reg10}_days_ {s20}_({reg10}_days),^_{s11}
qstr_{s20}__{reg10}_days__ {s20}_({reg10}_days),_{s11}
qstr_{s11} {s11}
qstr_No No
qstr_Yes Yes
qstr_X:_{reg31}__Y:_{reg3 X:_{reg31}_|_Y:_{reg32}
qstr_Statistics Statistics
qstr__Troop_tree_ _Troop_tree_
qstr_World_Map World_Map
qstr_Faction_Relations Faction_Relations
qstr_Prosperity_Report Prosperity_Report
qstr_Relationships Relationships
qstr_Known_Lords Known_Lords
qstr_Love_Affairs Love_Affairs
qstr_Companion_Report Companion_Report
qstr_Affilitated_Family Affilitated_Family
qstr_Management Management
qstr_Budget_Report Budget_Report
qstr_Faction_Notes Faction_Notes
qstr_Legion_Report Legion_Report
qstr_Estate_Report Estate_Report
qstr_Concepts Concepts
qstr_ERROR:_You_have_no_v ERROR:_You_have_no_valid_culture!_Choose_a_culture_in_the_'Select_a_culture_menu'_under_the_reports_menu!
qstr_Character_Informatio Character_Information
qstr_You_are_{reg1}_years You_are_{reg1}_years_old_and_{s1}.
qstr_You_worship_{s44} You_worship_{s44}
qstr_You_worship_no_speci You_worship_no_special_god_or_goddess.
qstr_{s43} {s43}
qstr_You_are_currently_re You_are_currently_reading_{s8}.
qstr_You_are_not_reading_ You_are_not_reading_any_books.
qstr_You_are_sailing_with You_are_sailing_with_your_ship.
qstr_You_don_t_own_a_ship You_don't_own_a_ship.
qstr_Your_ship_is_current Your_ship_is_currently_in_no_town.
qstr_Your_ship_is_currentl Your_ship_is_currently_in_{s23}.
qstr_{s22} {s22}
qstr_{s0} {s0}
qstr_Scars: Scars:
qstr_{!}{s10} {!}{s10}
qstr_Wounds: Wounds:
qstr_{!}{s11} {!}{s11}
qstr_Enemies_Killed: Enemies_Killed:
qstr_Enemies_Wounded: Enemies_Wounded:
qstr_Right_to_rule: Right_to_rule:
qstr_{reg12} {reg12}
qstr_Character_Renown: Character_Renown:
qstr_Piety: Piety:
qstr_{s60}__{reg12}_ {s60}_({reg12})
qstr_Reputation: Reputation:
qstr_Senate_support: Senate_support:
qstr_{reg23} {reg23}
qstr_Influence: Influence:
qstr_{reg22} {reg22}
qstr_Affiliated_to_{s5} Affiliated_to_{s5}
qstr_Military_rank:_Tribu Military_rank:_Tribunus_militaris_(salary:_{reg1}_denars)
qstr_Military_rank:_Praef Military_rank:_Praefectus_cohortis_(salary:_{reg1}_denars)
qstr_Military_rank:_Legat Military_rank:_Legatus_legionis_(salary:_{reg1}_denars)
qstr_You_have_the_honorar You_have_the_honorary_title_of_{s2}.
qstr_Title:_Imperator_Cae Title:_Imperator_Caesar_Augustus
qstr_Cognomina:_{s1} Cognomina:_{s1}
qstr_Next_pay_day:_{s1} Next_pay_day:_{s1}
qstr_You_are_not_affiliat You_are_not_affiliated_to_any_family.
qstr_Party_Actions Party_Actions
qstr_Detach_parties Detach_parties
qstr_Meet_commander Meet_commander
qstr_Change_stance Change_stance
qstr_Permanent_camp Permanent_camp
qstr_Reward_troops Reward_troops
qstr_Start_foraging Start_foraging
qstr_Stop_foraging Stop_foraging
qstr_Follower_party Follower_party
qstr_Build_fortifications Build_fortifications
qstr_Miscellaneous Miscellaneous
qstr_Take_an_Action Take_an_Action
qstr_Second_Outfit Second_Outfit
qstr_Auto_loot_settings Auto-loot_settings
qstr_Wait_here Wait_here
qstr_Walk_around Walk_around
qstr_Go_hunting Go_hunting
qstr_Party_Effects Party_Effects
qstr_Party_Moral Party_Moral
qstr_Party_Size Party_Size
qstr_Party_stance: Party_stance:
qstr_Default Default
qstr_Forced_march Forced_march
qstr_Screening Screening
qstr_Foraging: Foraging:
qstr_You_send_men_to_fora You_send_men_to_forage.
qstr_None.__At_least_40_m None._(At_least_40_men_needed)
qstr_Follower_Party Follower_Party
qstr_*_Size: *_Size:
qstr_None.__At_least_60_m None._(At_least_60_men_needed)
qstr_*_Wound_treatment_bo *_Wound_treatment_boni:
qstr_None. None.
qstr_*_Surgery_boni: *_Surgery_boni:
qstr_Each_100_troops_need Each_100_troops_need_2_officers_for_efficent_management.
qstr_Otherwise_you_will_s Otherwise_you_will_suffer_a_malus_to_tactic_skill.
qstr_*_Officers_available *_Officers_available:
qstr_*_Officers_needed: *_Officers_needed:
qstr_*_Tactic_skill_penal *_Tactic_skill_penality:
qstr_{reg1}__Lack_of_offi {reg1}_(Lack_of_officers)
qstr_None__Sufficient_ None_(Sufficient)
qstr_High_rank_officers_p High_rank_officers_provide_a_leadership_bonus.
qstr_This_includes_Vexila This_includes_Vexilarius,_Aquilifer,_Tribunus_and_Primus_Pilus.
qstr_This_includes_all_ki This_includes_all_kinds_of_Standard_Bearer.
qstr_*Leadership_bonus: *Leadership_bonus:
qstr_Base_moral: Base_moral:
qstr_{!}{reg6} {!}{reg6}
qstr_Party_size_penality: Party_size_penality:
qstr_{!}{reg1} {!}{reg1}
qstr_Follower_party: Follower_party:
qstr_Lack_of_rest: Lack_of_rest:
qstr_No_food: No_food:
qstr_Variety_food: Variety_food:
qstr_Wage_debt: Wage_debt:
qstr_Special_items: Special_items:
qstr_Recent_events: Recent_events:
qstr_{!}{reg4} {!}{reg4}
qstr_Total: Total:
qstr_{!}{reg5} {!}{reg5}
qstr_Cohort_limit: Cohort_limit:
qstr_Base_limit: Base_limit:
qstr_Leadership_bonus: Leadership_bonus:
qstr_Charisma_bonus: Charisma_bonus:
qstr_{s22}_has_left_your_ {s22}_has_left_your_force.
qstr_Parties_have_been_de Parties_have_been_detached_from_main_party.
qstr_No_parties_are_attac No_parties_are_attached_to_main_party.
qstr_Too_close_to_a_town. Too_close_to_a_town.
qstr_Not_possible_on_wate Not_possible_on_water.
qstr_You_need_at_least_on You_need_at_least_one_troop_in_your_party.
qstr_Stop_foraging. Stop_foraging.
qstr_Start_foraging. Start_foraging.
qstr_You_need_at_least_40 You_need_at_least_40_men.
qstr_Auto_loot_requires_I Auto-loot_requires_Inventory_Management_or_Looting_at_rank_2.
qstr_You_must_be_on_land! You_must_be_on_land!
qstr_You_need_at_least_60 You_need_at_least_60_men_in_your_party.
qstr_You_can_t_go_hunting You_can't_go_hunting_here.
qstr_You_have_already_bui You_have_already_build_fortifications!
qstr_You_need_at_least_40_ You_need_at_least_40_troops_and_must_be_of_Roman_culture.
qstr_{reg6}_men {reg6}_men
qstr_Culture:_{s61}^Prosp Culture:_{s61}^Prosperity:_{reg1}.^Town_wealth:_{reg3}.^Budget_of_the_town_counsel:_{reg2}.^Relation:_{reg4}.^Garrison_size:_{reg5}_men.^Prisoners:_{s2}.
qstr_Settle_Veterans. Settle_Veterans.
qstr_Economic_Details. Economic_Details.
qstr_Extort_subjects. Extort_subjects.
qstr_Manage_Decrees. Manage_Decrees.
qstr_Manage_the_garrison Manage_the_garrison
qstr_Manage_buildings. Manage_buildings.
qstr_Set_tax_rate Set_tax_rate
qstr_Go_Back. Go_Back.
qstr_Economic_Information Economic_Information
qstr_Here_you_find_additi Here_you_find_additional_information_about_the_wealth_and_expected_tax_income_of_the_settlement._Certain_effects_are_not_simultaneous_and_need_time_to_apply!_Rent_is_calculated_as_follows:_Wealth_and_income_or_upkeep_from_buildings_is_added_together,_then_the_modifiers_are_applied._A_taxrate_of_60%_means_that_you_will_get_60%_of_the_total_wealth_of_the_settlement.
qstr_Agriculture: Agriculture:
qstr_{s3}:_{reg22} {s3}:_{reg22}
qstr_Wealth_from_Agricult Wealth_from_Agriculture:_{reg50}
qstr_Special_Resources: Special_Resources:
qstr_Wealth_from_Special_ Wealth_from_Special_Resources:_{reg52}
qstr_Production_Sides: Production_Sides:
qstr_Wealth_from_Producti Wealth_from_Production_Sides:_{reg51}
qstr_Building_Effects: Building_Effects:
qstr_{s0}:_{reg22}_denars {s0}:_{reg22}_denars_to_rents
qstr_{s0}:_+20%_to_produc {s0}:_+20%_to_production
qstr_Decree_Effects: Decree_Effects:
qstr_{s30}:_{reg22}_denar {s30}:_{reg22}_denars_to_rents
qstr_Modifiers: Modifiers:
qstr_Faction_politics:_{r Faction_politics:_{reg22}%
qstr_Prosperity_modifier: Prosperity_modifier:_{reg22}%
qstr_Tax_rate:_{reg2}% Tax_rate:_{reg2}%
qstr_Disease:_{reg2}%__{s Disease:_{reg2}%_({s0})
qstr_Event:_{reg3}%__{s0} Event:_{reg3}%_({s0}{reg3?,_~_{reg2}_weeks):}
qstr_Regional_effects:_{r Regional_effects:_{reg2}%
qstr_Wrong_culture_of_gov Wrong_culture_of_governor:_-20%
qstr_Total_estimate_for_r Total_estimate_for_rents:_{reg49}
qstr_Be_aware_your_action Be_aware,_your_actions_will_have_a_price._Your_reputation_will_suffer_and_the_relation_and_prosperity_of_the_center_will_be_lowered,_which_will_have_a_negative_impact_on_your_future_taxes.
qstr_Decrees Decrees
qstr_{reg4?{s30}__issued_ {reg4?{s30}_(issued):{s30}_}
qstr__{s44}_ ({s44})
qstr__under_construction_ (under_construction,_{reg8}_day{reg9?s:}_remaining.)
qstr_{reg4?{s0}__built_:{ {reg4?{s0}_(built):{s0}_{s44}_{s33}_}
qstr_{s11}^^This_decree_i {s11}^^This_decree_is_currently_issueed.
qstr_{s11}^^Under_constru {s11}^^Under_construction:_{reg8}_day{reg9?s:}_remaining.
qstr_{s11}^^As_the_party_ {s11}^^As_the_party_member_with_the_highest_engineer_skill_({reg2}),_{reg3?you_reckon:{s3}_reckons}_that_building_the_{s4}_will_cost_you_{reg5}_denars_(base_cost_{reg0})_and_will_take_{reg6}_days__(base_time_{reg40}).^^The_building_time_and_costs_are_modified_by:_Skill:_{reg44}%,_slave_politic_of_the_realm:_{reg45}%._Additionally,_the_building_time_is_modified_by_the_number_of_prisoners_in_the_town:_{reg46}%.
qstr_WRONG_CULTURE._NO_BU WRONG_CULTURE._NO_BUILDING_EFFECTS!^^Destroy_the_building_and_build_an_equivalent_building_of_your_culture!
qstr_{s11}^^This_building {s11}^^This_building_has_already_been_built.^^{s33}^^{s33}
qstr_You_need_at_least_20 You_need_at_least_200_men_and_a_negative_relation_with_the_settlement_or_the_settlement_has_different_culture_than_yours.
qstr_Decrees_can_only_be_ Decrees_can_only_be_issued_in_towns_or_forts.
qstr_Do_you_wish_to_revok Do_you_wish_to_revoke_{s30}?_It_would_cost_you_{reg0}_denars.
qstr_Issuing_a_decree_cos Issuing_a_decree_costs_{reg0}_denars._Do_you_wish_to_issue_{s30}?
qstr_Do_you_wish_to_cancl Do_you_wish_to_cancle_the_building_of_{s0}?_You_will_get_some_money_back,_though_it_will_upset_the_local_population.
qstr_{s0}_has_already_bee {s0}_has_already_been_built._You_wish_to_destroy_it?_You_would_regain_{reg0}_denars.
qstr_This_building_cannot This_building_cannot_be_destroyed.
qstr_You_can_construct_on You_can_construct_only_two_building_at_the_same_time.
qstr_Your_faction_s_polic Your_faction's_policies_regarding_slavery_doesn't_allow_the_construction_of_a_slave_market.
qstr_Building_a_{s0}_woul Building_a_{s0}_would_cost_you_{reg0}_denars_and_take_{reg1}_days._Do_you_wish_to_proceed?
qstr_How_will_your_male_v How_will_your_male_vassals_be_known?
qstr_How_will_your_female How_will_your_female_vassals_be_known?
qstr_Sell_items_automatic Sell_items_automatically_when_leaving:
qstr_Price_limit_for_auto Price_limit_for_auto-sell:
qstr_Item_types_for_auto_ Item_types_for_auto-sell:
qstr_Select_all Select_all
qstr_Select_invert Select_invert
qstr_Buy_food_automatical Buy_food_automatically_when_leaving:
qstr_* *
qstr__Courtship_progress_ _Courtship_progress_and_love_affairs_
qstr__Known_Lords_by_Rela _Known_Lords_by_Relation_
qstr__Character_&_Compani _Character_&_Companions_
qstr__Done_ _Done_
qstr_Your_supporters Your_supporters
qstr_{s10}s {s10}s
qstr_All_Factions All_Factions
qstr_Default_camera_mode Default_camera_mode
qstr_Keyboard Keyboard
qstr_Mouse Mouse
qstr_Follower Follower
qstr_Raise_camera Raise_camera
qstr_Lower_camera Lower_camera
qstr_Lower_sensitivity Lower_sensitivity
qstr_Tilt_left Tilt_left
qstr_Prev_troop Prev_troop
qstr_Raise_sensitivity Raise_sensitivity
qstr_Tilt_right Tilt_right
qstr_Next_troop Next_troop
qstr_Zoom_in Zoom_in
qstr_Rotate_up Rotate_up
qstr_Zoom_out Zoom_out
qstr_Rotate_down Rotate_down
qstr_Rotate_left Rotate_left
qstr_Rotate_right Rotate_right
qstr_Press_a_key Press_a_key
qstr_Send_a_message Send_a_message
qstr_Export/Import Export/Import
qstr_{s4}__{s5}_ {s4}_({s5})
qstr_{s4}__You_ {s4}_(You)
qstr__Renown:_{reg2}^{s2} _Renown:_{reg2}^{s2}^{s1}of_{s0}
qstr_Morale: Morale:
qstr_{reg3} {reg3}
qstr_Mission: Mission:
qstr_{s8} {s8}
qstr_Location: Location:
qstr_{s5} {s5}
qstr_Health: Health:
qstr_{reg3}_/_{reg0}__{re {reg3}_/_{reg0}_({reg2}_%)
qstr_Level: Level:
qstr_Other_information: Other_information:
qstr_Arms Arms
qstr_Outfit Outfit
qstr_Horse Horse
qstr_Always_remember_the_ Always_remember_the_following:
qstr_Acta_non_verba! Acta_non_verba!
qstr_Abducet_praedam_qui_ Abducet_praedam,_qui_occurit_prior!
qstr_{s5}^^{s6}^^{s7} {s5}^^{s6}^^{s7}
qstr_{s5}^^{s6} {s5}^^{s6}
qstr_{s18} {s18}
qstr_{s20}: {s20}:
qstr_Attributes: Attributes:
qstr_Proficiencies: Proficiencies:
qstr_Skills: Skills:
qstr_{reg1}^value {reg1}^value
qstr_{reg2}^index {reg2}^index
qstr_{reg6}^money_in_the_ {reg6}^money_in_the_{reg5?treasury:chest}
qstr_{reg4}^money_in_your {reg4}^money_in_your_inventory
qstr_Withdraw Withdraw
qstr_Deposit Deposit
qstr_F4___Complex_formati F4_-_Complex_formations
qstr_F7___Memorize_div._p F7_-_Memorize_div._placement
qstr_F8___Default_divisio F8_-_Default_division_placement
qstr_F4___Ranks F4_-_Ranks
qstr_F5___Shield_Wall F5_-_Shield_Wall
qstr_F6___Wedge F6_-_Wedge
qstr_F7___Square F7_-_Square
qstr_F8___No_Formation F8_-_No_Formation
qstr_Strategy_Camera:_pre Strategy_Camera:_press_the_Enter_key.'
qstr_Orders Orders
qstr_Mount Mount
qstr_Attack_Order Attack_Order
qstr_Retreat Retreat
qstr_Stand_Ground Stand_Ground
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Hold_This_Position Hold_This_Position
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Dismount Dismount
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_Food_Consumption Food_Consumption
qstr_Your_party_will_{reg Your_party_will_{reg1?now:no_longer}_consume_{s0}
qstr_{s33} {s33}
qstr_fort fort
qstr_town town
qstr_village village
qstr_Infiltration Infiltration
qstr_A_good_way_to_hasten A_good_way_to_hasten_the_fall_of_the_{s2}_is_to_infiltrate_it_with_a_group_of_men_to_damage_the_defences,_food_stores,_water_supplies_or_loyalty_of_the_defenders._It_is_a_difficult_and_risky_maneuver,_almost_suicidal._Those_you_send_in_have_low_chances_of_returning,_but_if_successful,_they_could_cause_great_damage_to_the_enemy._They_need_600_denars_for_their_troubles._What_type_of_sabotage_would_you_like_them_to_cause?
qstr_Poison_the_{s2}_s_wa Poison_the_{s2}'s_water.
qstr_Kill_the_{s2}_s_live Kill_the_{s2}'s_livestock.
qstr_Burn_the_{s2}_s_food Burn_the_{s2}'s_food.
qstr_Subvert_the_defender Subvert_the_defenders.
qstr_____ ____
qstr_A_group_of_chosen_me A_group_of_chosen_men_will_be_sent_to_poison_the_water_supplies.
qstr_A_group_of_chosen_men A_group_of_chosen_men_will_be_sent_to_kill_the_cattle.
qstr_A_group_of_chosen_men_ A_group_of_chosen_men_will_be_sent_to_burn_the_granaries.
qstr_A_group_of_chosen_men_w A_group_of_chosen_men_will_be_sent_to_subvert_the_defenders.
qstr_You_do_not_have_the_ You_do_not_have_the_600_denars_to_pay_for_this_mission.
qstr_World_map_is_generat World_map_is_generated_....
qstr_Political_Mode Political_Mode
qstr_Terrain_Mode Terrain_Mode
qstr_Province_Mode Province_Mode
qstr_Culture_Mode Culture_Mode
qstr_Wealth_Mode Wealth_Mode
qstr_Wealth:_{reg10}._Pro Wealth:_{reg10}._Prosperity:_{reg11}
qstr_{s1}^{s2} {s1}^{s2}
qstr_Minor_faction Minor_faction
qstr_Factions Factions
qstr_Terrain_types Terrain_types
qstr_Provinces Provinces
qstr_Cultures Cultures
qstr_Wealth_buckets Wealth_buckets
qstr_Show_towns Show_towns
qstr_Show_castles Show_castles
qstr_Show_only_legion_hea Show_only_legion_headquarters
qstr_Horse_Speed_Fix: Horse_Speed_Fix:
qstr_Horse_Culling: Horse_Culling:
qstr_Battle_Continuation: Battle_Continuation:
qstr_Terrain_Advantages: Terrain_Advantages:
qstr_Lords_Returning_From Lords_Returning_From_Exile:
qstr_Prejudice_Level: Prejudice_Level:
qstr_prejudice_is_{reg1} prejudice_is_{reg1}
qstr_Disable_Companion_Co Disable_Companion_Complaints:
qstr_Disable_Companions_L Disable_Companions_Leaving:
qstr_Disguise_System: Disguise_System:
qstr_Charge_on_player_dea Charge_on_player_death:
qstr_DIPLOMACY^4.3+_for_S DIPLOMACY^4.3+_for_Steam^Preferences
qstr_Edit_mode_is_enabled Edit_mode_is_enabled,_it_is_recommended_to_disable_it_for_better_performance.
qstr_Diplomacy_Options Diplomacy_Options
qstr_Battle_Morale_Option Battle-Morale_Options
qstr_Welcome_to_Aut_Caesa Welcome_to_Aut_Caesar_aut_nihil._^Before_you_start_the_game,_choose_various_options.^Note_that_realistic_savings_are_always_disabled!
qstr_Settlement_names Settlement_names
